code,state,general_election_date,registration_deadline,registration_online_deadline,early_vote_start,early_vote_end,vbm_start,vbm_end,vbm_end_postmarkedby,vbm_end_receivedby,notes
AL,Alabama,11/6/2018,10/22/2018,,,,11/1/2018,11/5/2018,,11/5/2018,
AK,Alaska,11/6/2018,10/7/2018,,10/22/2018,11/6/2018,10/27/2018,11/6/2018,11/5/2018,11/16/2018,
AZ,Arizona,11/6/2018,10/9/2018,,10/11/2018,11/2/2018,10/26/2018,11/6/2018,,11/6/2018,
AR,Arkansas,11/6/2018,10/7/2018,,10/22/2018,11/5/2018,10/30/2018,11/6/2018,,11/6/2018,
CA,California,11/6/2018,10/22/2018,,10/8/2018,11/5/2018,10/30/2018,11/6/2018,11/6/2018,11/9/2018,
CO,Colorado,11/6/2018,11/6/2018,,10/22/2018,11/6/2018,10/29/2018,11/6/2018,,11/6/2018,
CT,Connecticut,11/6/2018,10/30/2018,,,,10/8/2018,11/6/2018,,11/6/2018,
DE,Delaware,11/6/2018,10/13/2018,,,,11/2/2018,11/5/2018,,11/5/2018,
FL,Florida,11/6/2018,10/9/2018,,10/27/2018,11/3/2018,10/31/2018,11/6/2018,,11/6/2018,
GA,Georgia,11/6/2018,10/9/2018,,10/15/2018,11/3/2018,11/2/2018,11/6/2018,,11/6/2018,
HI,Hawaii,11/6/2018,10/9/2018,,10/23/2018,11/3/2018,10/30/2018,11/6/2018,,11/6/2018,
ID,Idaho,11/6/2018,10/12/2018,,10/7/2018,11/2/2018,10/31/2018,11/6/2018,,11/6/2018,
IL,Illinois,11/6/2018,11/6/2018,,10/22/2018,11/5/2018,11/1/2018,11/5/2018,,11/5/2018,
IN,Indiana,11/6/2018,10/9/2018,,10/8/2018,11/5/2018,10/29/2018,11/6/2018,,11/6/2018,
IA,Iowa,11/6/2018,10/27/2018,,10/8/2018,11/5/2018,10/27/2018,11/5/2018,11/5/2018,11/12/2018,
KS,Kansas,11/6/2018,10/16/2018,,10/17/2018,11/5/2018,10/30/2018,11/6/2018,,11/6/2018,
KY,Kentucky,11/6/2018,10/9/2018,,10/19/2018,11/5/2018,10/30/2018,11/6/2018,,11/6/2018,
LA,Louisiana,12/8/2018,11/7/2018,11/17/2018,11/24/2018,12/1/2018,12/4/2018,12/7/2018,,12/7/2018,
ME,Maine,11/6/2018,10/16/2018,,10/7/2018,11/1/2018,11/1/2018,11/6/2018,,11/6/2018,
MD,Maryland,11/6/2018,10/16/2018,,10/25/2018,11/1/2018,10/30/2018,11/6/2018,11/5/2018,11/16/2018,
MA,Massachusetts,11/6/2018,10/17/2018,,10/22/2018,11/2/2018,10/7/2018,11/6/2018,,11/6/2018,
MI,Michigan,11/6/2018,10/9/2018,,,,11/3/2018,11/5/2018,,11/5/2018,
MN,Minnesota,11/6/2018,10/16/2018,,9/21/2018,11/5/2018,10/7/2018,11/6/2018,,11/6/2018,
MS,Mississippi,11/6/2018,10/8/2018,,,,10/7/2018,11/6/2018,,11/5/2018,
MO,Missouri,11/6/2018,10/10/2018,,,,10/31/2018,11/6/2018,,11/6/2018,
MT,Montana,11/6/2018,10/9/2018,,10/7/2018,11/5/2018,11/5/2018,11/6/2018,,11/6/2018,
NE,Nebraska,11/6/2018,10/19/2018,,10/2/2018,11/6/2018,10/31/2018,11/6/2018,,11/6/2018,
NV,Nevada,11/6/2018,10/9/2018,10/18/2018,10/20/2018,11/2/2018,10/30/2018,11/6/2018,,11/6/2018,
NH,New Hampshire,11/6/2018,10/23/2018,,,,10/7/2018,11/6/2018,,11/6/2018,
NJ,New Jersey,11/6/2018,10/16/2018,,10/30/2018,11/6/2018,10/30/2018,11/6/2018,,11/6/2018,
NM,New Mexico,11/6/2018,10/9/2018,,10/9/2018,11/3/2018,11/2/2018,11/6/2018,,11/6/2018,
NY,New York,11/6/2018,10/12/2018,,,,10/30/2018,11/5/2018,11/5/2018,11/13/2018,
NC,North Carolina,11/6/2018,10/12/2018,,10/18/2018,11/3/2018,10/30/2018,11/6/2018,11/6/2018,11/9/2018,
ND,North Dakota,11/6/2018,11/6/2018,,,,10/7/2018,11/6/2018,11/6/2018,11/10/2018,no formal registration required
OH,Ohio,11/6/2018,10/9/2018,,10/10/2018,11/5/2018,11/3/2018,11/6/2018,11/6/2018,11/16/2018,
OK,Oklahoma,11/6/2018,10/12/2018,,11/1/2018,11/3/2018,10/31/2018,11/6/2018,,11/6/2018,
OR,Oregon,11/6/2018,10/16/2018,,,,10/7/2018,11/6/2018,,11/6/2018,
PA,Pennsylvania,11/6/2018,10/9/2018,10/7/2018,,,10/30/2018,11/2/2018,,11/2/2018,
RI,Rhode Island,11/6/2018,10/7/2018,,,,10/16/2018,11/6/2018,,11/6/2018,
SC,South Carolina,11/6/2018,10/17/2018,,,,11/2/2018,11/6/2018,,11/6/2018,
SD,South Dakota,11/6/2018,10/22/2018,,9/21/2018,11/5/2018,11/2/2018,11/5/2018,,11/5/2018,
TN,Tennessee,11/6/2018,10/9/2018,10/7/2018,10/17/2018,11/1/2018,10/30/2018,11/6/2018,,11/6/2018,
TX,Texas,11/6/2018,10/9/2018,,10/22/2018,11/2/2018,10/26/2018,11/6/2018,11/6/2018,11/7/2018,
UT,Utah,11/6/2018,10/30/2018,,10/23/2018,11/2/2018,11/1/2018,11/5/2018,11/5/2018,,
VT,Vermont,11/6/2018,11/6/2018,,9/22/2018,11/6/2018,11/5/2018,11/6/2018,,11/6/2018,
VA,Virginia,11/6/2018,10/15/2018,,9/22/2018,11/3/2018,10/30/2018,11/6/2018,,11/6/2018,
WA,Washington,11/6/2018,10/29/2018,10/8/2018,,,,11/6/2018,11/6/2018,11/11/2018,
WV,West Virginia,11/6/2018,10/16/2018,,10/24/2018,11/3/2018,10/31/2018,11/6/2018,11/6/2018,11/12/2018,
WI,Wisconsin,11/6/2018,11/2/2018,10/17/2018,,11/2/2018,11/1/2018,11/6/2018,,11/6/2018,
WY,Wyoming,11/6/2018,10/22/2018,,9/27/2018,11/5/2018,10/7/2018,11/6/2018,,11/6/2018,
DC,"Washington, D.C.",11/6/2018,11/6/2018,10/16/2018,10/26/2018,11/2/2018,10/30/2018,11/6/2018,,11/6/2018,