code,state,primary_election_date,primary_election_runoff_date,registration_deadline,registration_online_deadline,early_vote_start,early_vote_end,vbm_start,vbm_end,notes,,
AL,Alabama,6/5/2018,7/17/2018,5/21/2018,,,,5/31/2018,6/4/2018,,,AL
AK,Alaska,8/21/2018,,7/22/2018,,8/6/2018,8/20/2018,8/11/2018,8/21/2018,,,AK
AZ,Arizona,8/28/2018,,7/30/2018,,8/2/2018,8/24/2018,8/17/2018,8/28/2018,,,AZ
AR,Arkansas,5/22/2018,6/19/2018,4/23/2018,,5/7/2018,5/21/2018,4/6/2018,5/22/2018,,,AR
CA,California,6/5/2018,,5/21/2018,,5/5/2018,6/4/2018,5/29/2018,6/5/2018,,,CA
CO,Colorado,6/26/2018,,6/26/2018,6/18/2018,,,6/18/2018,6/26/2018,,,CO
CT,Connecticut,8/14/2018,,8/14/2018,,,,7/24/2018,8/14/2018,,,CT
DE,Delaware,9/6/2018,,8/11/2018,,,,9/5/2018,9/6/2018,,,DE
FL,Florida,8/28/2018,,7/30/2018,,8/18/2018,8/25/2018,8/22/2018,8/28/2018,,,FL
GA,Georgia,5/22/2018,7/24/2018,4/24/2018,,4/30/2018,5/21/2018,5/18/2018,5/22/2018,,,GA
HI,Hawaii,8/11/2018,,7/12/2018,,7/30/2018,8/9/2018,8/4/2018,8/11/2018,,,HI
ID,Idaho,5/15/2018,,4/20/2018,,4/30/2018,5/11/2018,5/4/2018,5/15/2018,,,ID
IL,Illinois,3/20/2018,,2/20/2018,3/4/2018,3/5/2018,3/19/2018,3/15/2018,3/19/2018,,,IL
IN,Indiana,5/8/2018,,4/9/2018,,4/10/2018,5/7/2018,4/30/2018,5/7/2018,,,IN
IA,Iowa,6/5/2018,,5/25/2018,,4/30/2018,6/4/2018,6/4/2018,6/4/2018,,,IA
KS,Kansas,8/7/2018,,7/17/2018,,7/18/2018,8/6/2018,7/31/2018,8/7/2018,,,KS
KY,Kentucky,5/22/2018,,4/23/2018,,,,5/15/2018,5/22/2018,,,KY
LA,Louisiana,11/6/2018,,10/9/2018,10/16/2018,10/23/2018,10/30/2018,11/2/2018,11/5/2018,,,LA
ME,Maine,6/12/2018,,5/22/2018,,5/12/2018,6/11/2018,6/7/2018,6/12/2018,,,ME
MD,Maryland,6/26/2018,,6/5/2018,,6/14/2018,6/21/2018,6/19/2018,6/26/2018,,,MD
MA,Massachusetts,9/4/2018,,8/15/2018,,,,9/3/2018,9/4/2018,,,MA
MI,Michigan,8/7/2018,,7/9/2018,,,,8/4/2018,8/7/2018,,,MI
MN,Minnesota,8/14/2018,,7/24/2018,,6/29/2018,8/13/2018,8/13/2018,8/14/2018,,,MN
MS,Mississippi,6/5/2018,6/26/2018,5/7/2018,,,,5/6/2018,6/4/2018,,,MS
MO,Missouri,8/7/2018,,7/11/2018,,,,8/1/2018,8/7/2018,,,MO
MT,Montana,6/5/2018,,5/7/2018,,5/5/2018,6/4/2018,6/4/2018,6/5/2018,,,MT
NE,Nebraska,5/15/2018,,4/30/2018,,4/16/2018,5/14/2018,5/9/2018,5/15/2018,,,NE
NV,Nevada,6/12/2018,,5/22/2018,5/24/2018,5/26/2018,6/8/2018,6/7/2018,6/12/2018,,,NV
NH,New Hampshire,9/11/2018,,8/29/2018,,,,9/10/2018,9/11/2018,,,NH
NJ,New Jersey,6/5/2018,,5/15/2018,,5/29/2018,6/5/2018,5/29/2018,6/5/2018,,,NJ
NM,New Mexico,6/5/2018,,5/8/2018,,5/8/2018,6/2/2018,6/2/2018,6/5/2018,,,NM
NY,New York,9/13/2018,,8/19/2018,,,,9/6/2018,9/12/2018,state primary (federal primary 6/26),,NY
NC,North Carolina,5/8/2018,7/17/2018,4/13/2018,,4/19/2018,5/5/2018,5/1/2018,5/8/2018,,,NC
ND,North Dakota,6/12/2018,,,,,,5/11/2018,6/11/2018,no formal registration required,,ND
OH,Ohio,5/8/2018,,4/9/2018,,4/10/2018,5/7/2018,5/5/2018,5/8/2018,,,OH
OK,Oklahoma,6/26/2018,8/28/2018,8/3/2018,,8/23/2018,8/25/2018,8/22/2018,8/28/2018,,,OK
OR,Oregon,5/15/2018,,4/24/2018,,,,3/8/2018,5/15/2018,,,OR
PA,Pennsylvania,5/15/2018,,4/16/2018,,,,5/8/2018,5/11/2018,,,PA
RI,Rhode Island,9/12/2018,,8/13/2018,,,,8/22/2018,9/11/2018,,,RI
SC,South Carolina,6/12/2018,6/26/2018,5/11/2018,5/13/2018,,,6/8/2018,6/11/2018,,,SC
SD,South Dakota,6/5/2018,8/14/2018,5/21/2018,,4/20/2018,6/4/2018,6/4/2018,6/5/2018,,,SD
TN,Tennessee,8/2/2018,,7/3/2018,,7/13/2018,7/28/2018,7/26/2018,8/2/2018,,,TN
TX,Texas,3/6/2018,5/22/2018,2/5/2018,,2/20/2018,3/2/2018,2/23/2018,3/6/2018,,,TX
UT,Utah,6/26/2018,,5/29/2018,,6/12/2018,6/22/2018,6/21/2018,6/25/2018,,,UT
VT,Vermont,8/14/2018,,8/14/2018,,6/30/2018,8/13/2018,8/13/2018,8/14/2018,,,VT
VA,Virginia,6/12/2018,,5/21/2018,,,,6/5/2018,6/12/2018,,,VA
WA,Washington,8/7/2018,,7/30/2018,7/9/2018,,,7/30/2018,8/7/2018,,,WA
WV,West Virginia,5/8/2018,,4/17/2018,,4/25/2018,5/5/2018,5/2/2018,5/8/2018,,,WV
WI,Wisconsin,8/14/2018,,8/14/2018,8/10/2018,6/28/2018,8/12/2018,8/9/2018,8/14/2018,,,WI
WY,Wyoming,8/21/2018,,8/6/2018,,7/12/2018,8/21/2018,7/23/2018,8/21/2018,,,WY
DC,"Washington, D.C.",6/19/2018,,6/19/2018,5/29/2018,6/8/2018,6/15/2018,6/12/2018,6/19/2018,,,DC
