ocd_id,name,state,year,race_type,office_type,office_level,primary_date,primary_runoff_date,general_date,general_runoff_date
ocd-division/country:us/state:mo/county:st_louis,St. Louis County Prosecuting Attorney,mo,2018,regular,district_attorney,county,2018-08-07,,2018-11-06,
ocd-division/country:us/state:ny/county:rensselaer,Rensselaer County District Attorney,ny,2018,regular,district_attorney,county,2018-09-13,,2018-11-06,
ocd-division/country:us/state:ca/county:marin,Marin County District Attorney,ca,2018,regular,district_attorney,county,2018-06-05,,2018-11-06,
ocd-division/country:us/state:ca/county:stanislaus,Stanislaus County District Attorney,ca,2018,regular,district_attorney,county,2018-06-05,,2018-11-06,
ocd-division/country:us/state:ca/county:madera,Madera County District Attorney,ca,2018,regular,district_attorney,county,2018-06-05,,2018-11-06,
ocd-division/country:us/state:ca/county:sutter,Sutter County Sheriff,ca,2018,regular,county_sheriff,county,2018-06-05,,2018-11-06,
ocd-division/country:us/state:ca/county:riverside,Riverside County Sheriff,ca,2018,regular,county_sheriff,county,2018-06-05,,2018-11-06,
ocd-division/country:us/state:ca/county:calaveras,Calaveras County Sheriff,ca,2018,regular,county_sheriff,county,2018-06-05,,2018-11-06,
ocd-division/country:us/state:ca/county:nevada,Nevada County Sheriff,ca,2018,regular,county_sheriff,county,2018-06-05,,2018-11-06,
ocd-division/country:us/state:ca/county:trinity,Trinity County Sheriff,ca,2018,regular,county_sheriff,county,2018-06-05,,2018-11-06,