State,Description,Type,Date,Primary reg deadline,Primary reg mail/online (if different),General reg deadline,General reg mail/online (if different),Online?,Same-day?,Absentee?,Early?,Early start,Early end,VBM apply,VBM ballot due,ID req?,SOS/info,polling place locator,Ballotpedia,notes
Alabama,Primary election,Primary,6/5/2018,,,,,,,,,,,,,,,,,
California,Primary election,Primary,6/5/2018,,,,,,,,,,,,,,,,,
Iowa,Primary election,Primary,6/5/2018,,,,,,,,,,,,,,,,,
Mississippi,Primary election,Primary,6/5/2018,,,,,,,,,,,,,,,,,
Montana,Primary election,Primary,6/5/2018,,,,,,,,,,,,,,,,,
New Jersey,Primary election,Primary,6/5/2018,,,,,,,,,,,,,,,,,
New Mexico,Primary election,Primary,6/5/2018,,,,,,,,,,,,,,,,,
South Dakota,Primary election,Primary,6/5/2018,,,,,,,,,,,,,,,,,
Maine,Primary election,Primary,6/12/2018,,,,,,,,,,,,,,,,,
Nevada,Primary election,Primary,6/12/2018,,,,,,,,,,,,,,,,,
North Dakota,Primary election,Primary,6/12/2018,,,,,,,,,,,,,,,,,
South Carolina,Primary election,Primary,6/12/2018,,,,,,,,,,,,,,,,,
Virginia,Primary election,Primary,6/12/2018,,,,,,,,,,,,,,,,,
Arkansas,Primary runoff election,Primary runoff,6/19/2018,,,,,,,,,,,,,,,,,
Colorado,Primary election,Primary,6/26/2018,,,,,,,,,,,,,,,,,
Maryland,Primary election,Primary,6/26/2018,,,,,,,,,,,,,,,,,
Mississippi,Primary runoff election,Primary runoff,6/26/2018,,,,,,,,,,,,,,,,,
New York,Primary election - Federal,Primary,6/26/2018,,,,,,,,,,,,,,,,,
Oklahoma,Primary election,Primary,6/26/2018,,,,,,,,,,,,,,,,,
South Carolina,Primary runoff election,Primary runoff,6/26/2018,,,,,,,,,,,,,,,,,
Utah,Primary election,Primary,6/26/2018,,,,,,,,,,,,,,,,,
Alabama,Primary runoff election,Primary runoff,7/17/2018,,,,,,,,,,,,,,,,,
North Carolina,Primary runoff election,Primary runoff,7/17/2018,,,,,,,,,,,,,,,,,
Georgia,Primary runoff election,Primary runoff,7/24/2018,,,,,,,,,,,,,,,,,
Tennessee,Primary election,Primary,8/2/2018,,,,,,,,,,,,,,,,,
Kansas,Primary election,Primary,8/7/2018,7/17/2018,,10/17/2018,,https://www.kdor.ks.gov/Apps/VoterReg/Default.aspx,no,all-voters,yes,7/18/2018,8/6/2018,7/31/2018,8/7/2018,photo-id,http://www.kssos.org/elections/elections_registration_voting.html,,,
Michigan,Primary election,Primary,8/7/2018,7/9/2018,,10/9/2018,,,no,excuse-only,no,,,8/4/2018,8/7/2018,photo-id,,,,
Missouri,Primary election,Primary,8/7/2018,7/11/2018,,10/10/2018,,https://s1.sos.mo.gov/votemissouri/request,no,excuse-only,absentee-only,6/26/2018,8/6/2018,8/1/2018,8/7/2018,non-photo-id,https://www.sos.mo.gov/elections/govotemissouri/howtovote,,,
Washington,Primary election,Primary,8/7/2018,7/30/2018,7/9/2018,10/29/2018,10/8/2018,https://wei.sos.wa.gov/agency/osos/en/Pages/MyVoteOLVR.aspx,all-mail,all-mail,all-mail,,,7/30/2018,8/7/2018,no,,,,
Hawaii,Primary election,Primary,8/11/2018,7/12/2018,,10/9/2018,,https://olvr.hawaii.gov/,yes,all-voters,yes,7/30/2018,8/9/2018,8/4/2018,8/11/2018,non-photo-id,http://elections.hawaii.gov/resources/election-laws/,,https://ballotpedia.org/Voting_in_Hawaii,
Connecticut,Primary election,Primary,8/14/2018,8/14/2018,,11/6/2018,,https://voterregistration.ct.gov/OLVR/welcome.do,yes,no,no,,,,,non-photo-id,https://www.cga.ct.gov/current/pub/title_09.htm,,https://ballotpedia.org/Voting_in_Connecticut,same-day reg on e-day?
Minnesota,Primary election,Primary,8/14/2018,7/24/2018,,10/16/2018,,https://mnvotes.sos.state.mn.us/VoterRegistration/VoterRegistrationStep1.aspx,yes,all-voters,yes,6/29/2018,8/13/2018,8/13/2018,8/14/2018,no,http://www.sos.state.mn.us/election-administration-campaigns/election-administration/election-laws/,,https://ballotpedia.org/Voting_in_Minnesota,
South Dakota,Primary runoff election,Primary runoff,8/14/2018,5/21/2018,,10/22/2018,,,no,all-voters,yes,4/20/2018,6/4/2018,6/4/2018,6/5/2018,photo-id,http://sdlegislature.gov/Statutes/DisplayStatute.aspx?Type=Statute&Statute=12,,https://ballotpedia.org/Voting_in_South_Dakota,
Vermont,Primary election,Primary,8/14/2018,8/14/2018,,11/6/2018,,https://www.olvr.sec.state.vt.us/,yes,all-voters,yes,6/30/2018,8/13/2018,8/13/2018,8/14/2018,no,http://sdlegislature.gov/Statutes/DisplayStatute.aspx?Type=Statute&Statute=12,,https://ballotpedia.org/Voting_in_Vermont,
Wisconsin,Primary election,Primary,8/14/2018,,,,,,,,,,,,,,,,,
Alaska,Primary election,Primary,8/21/2018,,,,,,,,,,,,,,,,,
Wyoming,Primary election,Primary,8/21/2018,,,,,,,,,,,,,,,,,
Arizona,Primary election,Primary,8/28/2018,,,,,,,,,,,,,,,,,
Florida,Primary election,Primary,8/28/2018,,,,,,,,,,,,,,,,,
Oklahoma,Primary runoff election,Primary runoff,8/28/2018,,,,,,,,,,,,,,,,,
Massachusetts,Primary election,Primary,9/4/2018,,,,,,,,,,,,,,,,,
Delaware,Primary election,Primary,9/6/2018,,,,,,,,,,,,,,,,,
New Hampshire,Primary election,Primary,9/11/2018,,,,,,,,,,,,,,,,,
Rhode Island,Primary election,Primary,9/12/2018,,,,,,,,,,,,,,,,,
New York,Primary election - State,Primary,9/13/2018,,,,,https://dmv.ny.gov/more-info/electronic-voter-registration-application,,,,,,,,,,https://voterlookup.elections.ny.gov/,,