aclu_id,display_name
516,Sen. Dan Sullivan
518,Sen. Lisa Murkowski
525,Sen. Richard Shelby
531,Sen. John Boozman
533,Sen. Tom Cotton
539,Sen. Kyrsten Sinema
555,Sen. Dianne Feinstein
574,Sen. Kamala Harris
606,Sen. Michael Bennet
609,Sen. Chris Murphy
614,Sen. Richard Blumenthal
617,Sen. Chris Coons
619,Sen. Tom Carper
638,Sen. Marco Rubio
665,Sen. Brian Schatz
667,Sen. Mazie Hirono
669,Sen. Chuck Grassley
672,Sen. Joni Ernst
675,Sen. Jim Risch
676,Sen. Mike Crapo
695,Sen. Dick Durbin
698,Sen. Tammy Duckworth
708,Sen. Todd Young
710,Sen. Jerry Moran
714,Sen. Roger Marshall
721,Sen. Mitch McConnell
722,Sen. Rand Paul
724,Sen. Bill Cassidy
728,Sen. John Kennedy
732,Sen. Ed Markey
733,Sen. Elizabeth Warren
745,Sen. Ben Cardin
747,Sen. Chris Van Hollen
753,Sen. Angus King
756,Sen. Susan Collins
762,Sen. Debbie Stabenow
764,Sen. Gary Peters
772,Sen. Amy Klobuchar
779,Sen. Tina Smith
787,Sen. Roy Blunt
794,Sen. Roger Wicker
797,Sen. Jon Tester
798,Sen. Steve Daines
807,Sen. Richard Burr
811,Sen. Thom Tillis
815,Sen. John Hoeven
816,Sen. Kevin Cramer
818,Sen. Ben Sasse
819,Sen. Deb Fischer
824,Sen. Jeanne Shaheen
825,Sen. Maggie Hassan
830,Sen. Cory Booker
837,Sen. Bob Menendez
840,Sen. Ben Ray Lujan
841,Sen. Martin Heinrich
845,Sen. Catherine Cortez Masto
848,Sen. Jacky Rosen
854,Sen. Chuck Schumer
869,Sen. Kirsten Gillibrand
890,Sen. Rob Portman
891,Sen. Sherrod Brown
897,Sen. Jim Inhofe
898,Sen. James Lankford
904,Sen. Jeff Merkley
907,Sen. Ron Wyden
920,Sen. Pat Toomey
922,Sen. Bob Casey
929,Sen. Jack Reed
930,Sen. Sheldon Whitehouse
934,Sen. Lindsey Graham
937,Sen. Tim Scott
940,Sen. John Thune
942,Sen. Mike Rounds
951,Sen. Marsha Blackburn
967,Sen. John Cornyn
987,Sen. Ted Cruz
993,Sen. Mike Lee
1003,Sen. Mark Warner
1008,Sen. Tim Kaine
1010,Sen. Bernie Sanders
1011,Sen. Pat Leahy
1020,Sen. Maria Cantwell
1021,Sen. Patty Murray
1031,Sen. Ron Johnson
1034,Sen. Tammy Baldwin
1038,Sen. Joe Manchin
1039,Sen. Shelley Moore Capito
1040,Sen. John Barrasso
1046,Sen. Cindy Hyde-Smith
11530,Sen. Rick Scott
11544,Sen. Mike Braun
11560,Sen. Josh Hawley
11603,Sen. Mitt Romney
11616,Sen. Kelly Loeffler
11624,Sen. Tommy Tuberville
11625,Sen. Mark Kelly
11631,Sen. John Hickenlooper
11640,Sen. Jon Ossoff
11643,Sen. Raphael Warnock
11673,Sen. Bill Hagerty
11686,Sen. Cynthia Lummis
11626,Sen. Alex Padilla