State,ETA (Data Go-live Dates),,,,,,,,
,Early vote locations,,Polling locations,,Ballot Info,,,Election Officials,
,Official,Unofficial,Official,Unofficial,Federal + Gubernatorial,State-Leg ,Local,State,Local
Alabama,NA,NA,Live!,,10/11/2018,10/19/2018,10/23/2018,NA,10/15/2018
Alaska,,10/12/2018,10/23/2018,,10/11/2018,10/19/2018,10/23/2018,,10/15/2018
Arizona,10/10/2018,Live!,10/23/2018,11/4/2018,10/11/2018,10/19/2018,10/23/2018,10/15/2018,10/15/2018
Arkansas,10/22/2018,Live!,10/23/2018,,10/11/2018,10/19/2018,10/23/2018,10/15/2018,10/15/2018
California,,Live!,10/23/2018,,10/11/2018,10/19/2018,10/23/2018,,10/15/2018
Colorado,10/15/2018,,10/15/2018,,10/11/2018,10/19/2018,10/23/2018,10/15/2018,10/15/2018
Connecticut,NA,NA,10/16/2018,,10/11/2018,10/19/2018,10/23/2018,NA,10/15/2018
DC,10/26/2018,Live!,10/16/2018,,10/11/2018,10/19/2018,10/23/2018,10/19/2018,10/15/2018
Delaware,NA,NA,10/16/2018,,10/11/2018,10/21/2018,10/30/2018,NA,10/15/2018
Florida,10/27/2018,10/10/2018,10/23/2018,,10/11/2018,10/19/2018,10/23/2018,10/20/2018,10/15/2018
Georgia,Live!,,Live!,,10/11/2018,10/19/2018,10/23/2018,10/15/2018,10/15/2018
Hawaii,,Live!,Live!,,10/11/2018,10/19/2018,10/23/2018,,10/15/2018
Idaho,,10/22/2018,Live!,,10/11/2018,10/19/2018,10/23/2018,,10/15/2018
Illinois,,Live!,10/16/2018,,10/11/2018,10/19/2018,10/23/2018,,10/15/2018
Indiana,10/15/2018,10/15/2018,10/23/2018,,10/11/2018,10/19/2018,10/23/2018,10/15/2018,10/15/2018
Iowa,10/15/2018,Live!,10/16/2018,,10/11/2018,10/19/2018,10/23/2018,10/20/2018,10/15/2018
Kansas,,10/17/2018,10/23/2018,,10/11/2018,10/19/2018,10/23/2018,,10/15/2018
Kentucky,NA,NA,10/16/2018,,10/11/2018,10/19/2018,10/23/2018,NA,10/15/2018
Louisiana,10/16/2018,Live!,Live!,,10/11/2018,10/25/2018,10/30/2018,10/16/2018,10/15/2018
Maine,,10/15/2018,,11/4/2018,10/11/2018,10/19/2018,10/23/2018,,10/15/2018
Maryland,10/27/2018,Live!,10/15/2018,,10/11/2018,10/19/2018,10/23/2018,10/20/2018,10/15/2018
Massachusetts,,10/22/2018,10/23/2018,,10/11/2018,10/19/2018,10/30/2018,,10/15/2018
Michigan,NA,NA,10/16/2018,,10/11/2018,10/19/2018,10/23/2018,NA,10/15/2018
Minnesota,,Live!,Live!,,10/11/2018,10/19/2018,10/23/2018,,10/15/2018
Mississippi,NA,NA,10/23/2018,,10/11/2018,10/19/2018,10/23/2018,NA,10/15/2018
Missouri,NA,NA,10/16/2018,,10/11/2018,10/19/2018,10/23/2018,NA,10/15/2018
Montana,,Live!,10/16/2018,,10/11/2018,10/19/2018,10/23/2018,,10/15/2018
Nebraska,10/15/2018,Live!,10/16/2018,,10/11/2018,10/19/2018,10/23/2018,10/20/2018,10/15/2018
Nevada,,Live!,10/16/2018,,10/11/2018,10/19/2018,10/23/2018,,10/15/2018
New Hampshire,NA,NA,,10/23/2018,10/11/2018,10/21/2018,10/30/2018,NA,10/15/2018
New Jersey,NA,NA,10/16/2018,,10/11/2018,10/19/2018,10/23/2018,NA,10/15/2018
New Mexico,10/15/2018,Live!,10/23/2018,,10/11/2018,10/19/2018,10/23/2018,10/16/2018,10/15/2018
New York,NA,NA,10/16/2018,,10/11/2018,10/23/2018,10/30/2018,NA,10/15/2018
North Carolina,Live!,,Live!,,10/11/2018,10/19/2018,10/23/2018,10/11/2018,10/15/2018
North Dakota,10/15/2018,Live!,10/23/2018,,10/11/2018,10/19/2018,10/23/2018,10/8/2018,10/15/2018
Ohio,,Live!,10/16/2018,,10/11/2018,10/19/2018,10/23/2018,,10/15/2018
Oklahoma,11/1/2018,Live!,10/16/2018,,10/11/2018,10/19/2018,10/23/2018,10/25/2018,10/15/2018
Oregon,drop boxes,drop boxes,NA,NA,10/11/2018,10/19/2018,10/23/2018,9/8/2018,10/15/2018
Pennsylvania,,NA,10/16/2018,,10/11/2018,10/19/2018,10/23/2018,,10/15/2018
Rhode Island,,NA,10/16/2018,,10/11/2018,10/22/2018,10/30/2018,,10/15/2018
South Carolina,,NA,10/16/2018,,10/11/2018,10/19/2018,10/23/2018,,10/15/2018
South Dakota,,Live!,,10/16/2018,10/11/2018,10/19/2018,10/23/2018,,10/15/2018
Tennessee,,10/17/2018,,10/23/2018,10/11/2018,10/19/2018,10/23/2018,,10/15/2018
Texas,,10/20/2018,10/16/2018,10/30/2018,10/11/2018,10/19/2018,10/23/2018,,10/15/2018
Utah,10/16/2018,10/10/2018,10/16/2018,,10/11/2018,10/19/2018,10/23/2018,10/16/2018,10/15/2018
Vermont,,Live!,10/16/2018,,10/11/2018,10/19/2018,10/23/2018,,10/15/2018
Virginia,NA,NA,Live!,,10/11/2018,10/19/2018,10/23/2018,NA,10/15/2018
Washington,10/15/2018,Live!,10/12/2018,,10/11/2018,10/19/2018,10/23/2018,10/5/2018,10/15/2018
West Virginia,,Live!,Live!,,10/11/2018,10/19/2018,10/23/2018,,10/15/2018
Wisconsin,,NA,10/23/2018,,10/11/2018,10/19/2018,10/23/2018,,10/15/2018
Wyoming,,Live!,Live!,,10/11/2018,10/19/2018,10/23/2018,,10/15/2018